lang_a,lang_b,family_id,ling_divergence,geo_distance_km,lat_a,lon_a,lat_b,lon_b,corridor_ruggedness,log_geo_dist
AINU_HOROBETSU,AINU_OSHAMAMBE,ainu1252,0.06224025974025974,0.0,43.633654,142.46167,43.633654,142.46167,2.132,0.0
AINU_HOROBETSU,AINU_RAICHISHKA,ainu1252,0.34682088744588746,0.0,43.633654,142.46167,43.633654,142.46167,2.132,0.0
AINU_HOROBETSU,AINU_SAMANI,ainu1252,0.12002976190476192,0.0,43.633654,142.46167,43.633654,142.46167,2.132,0.0
AINU_HOROBETSU,AINU_SARU,ainu1252,0.24158312447786132,0.0,43.633654,142.46167,43.633654,142.46167,2.132,0.0
AINU_HOROBETSU,AINU_SHIRAURA,ainu1252,0.32901785714285714,0.0,43.633654,142.46167,43.633654,142.46167,2.132,0.0
AINU_HOROBETSU,AINU_SOYA,ainu1252,0.17519862490450727,0.0,43.633654,142.46167,43.633654,142.46167,2.132,0.0
AINU_HOROBETSU,AINU_TARANTOMARI,ainu1252,0.2943948412698413,0.0,43.633654,142.46167,43.633654,142.46167,2.132,0.0
AINU_HOROBETSU,AINU_YAKUMO,ainu1252,0.049523809523809526,0.0,43.633654,142.46167,43.633654,142.46167,2.132,0.0
AINU_HOROBETSU,HOKKAIDO_AINU,ainu1252,0.2039285714285714,0.0,43.633654,142.46167,43.633654,142.46167,2.132,0.0
AINU_HOROBETSU,KURIL_AINU,ainu1252,0.4460061443932412,0.0,43.633654,142.46167,43.633654,142.46167,2.132,0.0
AINU_HOROBETSU,SAKHALIN_AINU,ainu1252,0.3884711779448622,0.0,43.633654,142.46167,43.633654,142.46167,2.132,0.0
AINU_KUSHIRO,AINU_MAOKA,ainu1252,0.3190773809523809,0.0,43.633654,142.46167,43.633654,142.46167,2.132,0.0
AINU_KUSHIRO,AINU_NAIRO,ainu1252,0.30140873015873015,0.0,43.633654,142.46167,43.633654,142.46167,2.132,0.0
AINU_KUSHIRO,AINU_NAYORO,ainu1252,0.08705357142857142,0.0,43.633654,142.46167,43.633654,142.46167,2.132,0.0
AINU_KUSHIRO,AINU_NIIKAPPU,ainu1252,0.10220238095238096,0.0,43.633654,142.46167,43.633654,142.46167,2.132,0.0
AINU_KUSHIRO,AINU_NUKKIBETSU,ainu1252,0.13107142857142856,0.0,43.633654,142.46167,43.633654,142.46167,2.132,0.0
AINU_KUSHIRO,AINU_OBIHIRO,ainu1252,0.056160714285714286,0.0,43.633654,142.46167,43.633654,142.46167,2.132,0.0
AINU_KUSHIRO,AINU_OCHIHO,ainu1252,0.3416666666666667,0.0,43.633654,142.46167,43.633654,142.46167,2.132,0.0
AINU_KUSHIRO,AINU_OSHAMAMBE,ainu1252,0.11132575757575758,0.0,43.633654,142.46167,43.633654,142.46167,2.132,0.0
AINU_KUSHIRO,AINU_RAICHISHKA,ainu1252,0.3473295454545455,0.0,43.633654,142.46167,43.633654,142.46167,2.132,0.0
AINU_KUSHIRO,AINU_SAMANI,ainu1252,0.0813095238095238,0.0,43.633654,142.46167,43.633654,142.46167,2.132,0.0
AINU_KUSHIRO,AINU_SARU,ainu1252,0.23970342522974103,0.0,43.633654,142.46167,43.633654,142.46167,2.132,0.0
AINU_KUSHIRO,AINU_SHIRAURA,ainu1252,0.3404166666666667,0.0,43.633654,142.46167,43.633654,142.46167,2.132,0.0
AINU_KUSHIRO,AINU_SOYA,ainu1252,0.14474949070537307,0.0,43.633654,142.46167,43.633654,142.46167,2.132,0.0
AINU_KUSHIRO,AINU_TARANTOMARI,ainu1252,0.27984126984126984,0.0,43.633654,142.46167,43.633654,142.46167,2.132,0.0
AINU_KUSHIRO,AINU_YAKUMO,ainu1252,0.10464285714285715,0.0,43.633654,142.46167,43.633654,142.46167,2.132,0.0
AINU_KUSHIRO,HOKKAIDO_AINU,ainu1252,0.2263095238095238,0.0,43.633654,142.46167,43.633654,142.46167,2.132,0.0
